"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Advanced Error Reporting (AER)","Error Handling","Adds comprehensive error logging, severity control, and reporting beyond baseline PCIe. Captures correctable, non‑fatal, and fatal error sources with TLP headers. Supports error masking and forwarding to root complex. Essential for robust RAS and field diagnostics. Integrates with OS AER frameworks for automated handling.","PF0_AER_CAP: AER_EXT_CAP_HDR_OFF (DSP) p. 1488; Exists: AER_ENABLE && (CX_MEMORY_MAP_PCIE_TYPE<2)","Explicit","AER_ENABLE; OS AER service active","Yes","Unmask only vetted errors to avoid spurious resets"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Lane Error Status Reporting","Error Handling","Per‑lane error status registers expose physical layer error conditions. Aids in detecting marginal channels and SI issues. Useful during validation and field diagnostics. Complements AER by providing lane‑granular visibility. Can trigger re‑training or maintenance actions by software.","LANE_ERR_STATUS_REG (DSP) p. 1591; (USP) p. 3362","Explicit","Secondary PCIe Capability present (Gen3+)","Yes","Poll during stress tests; log alongside AER events"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Link Margining Capability","Debug","Exposes margining controls and per‑lane status to assess eye openings and link quality. Supports software‑driven margin sweeps. Helps correlate BER and equalization settings. Valuable for platform bring‑up and RMA analysis. Works with higher‑gen PHYs supporting margining.","MARGIN_PORT_CAPABILITIES_STATUS p. 3392; MARGIN_LANE_CNTRL_STATUSi p. 3394","Explicit","Margining support in PHY/PL32G/PL64G blocks","Yes","Use offline or maintenance windows to avoid performance impact"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Controller Internal Error Status (CXS)","Error Handling","Controller fabric exposes consolidated internal error status. Helps detect AXI/fabric protocol violations and timeouts. Enables quicker triage of system‑side failures. Works alongside PCIe‑visible AER for full coverage. Status bits can be tied to interrupts or polled.","CXS_ERROR_STAT_OFF (USP) p. 3834","Explicit","Controller integrated fabric present; error interrupt wired","Yes","Clear after logging to avoid missed subsequent events"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Internal RAM ECC/Parity Protection","Error Handling","Build‑time options allow enabling ECC or parity on internal RAMs. Improves reliability against soft errors in context and buffer memories. Error flags integrate with controller status for reporting. May include correction and scrub policies depending on configuration. Recommended for safety‑critical designs.","Parameter Descriptions: Advanced RAM Config, p. 196; RAM signal sections (Retry/DMA RAMs)","Inferred","Feature availability depends on configured core options","No","Consult synthesis config for exact ECC/parity coverage"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Access Control Services (ACS)","Security","Implements ACS to constrain peer‑to‑peer and control request forwarding. Provides egress control vectors and upstream forwarding control. Enhances isolation for virtualization and multi‑tenant systems. Exposes per‑function control and status. Works with IOMMU to enforce DMA isolation.","ACS Register Configuration (PF0) p. 147; Signals: cfg_acs_* and VF equivalents","Explicit","Upstream fabric honors ACS; enable in config space","Yes","Enable on RPs and DPs to prevent unintended P2P"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Address Translation Services (ATS)","Security","Allows functions to cache IOMMU translations and request address translations on demand. Reduces IOTLB miss penalties in virtualized and shared memory systems. Requires end‑to‑end support including IOMMU and OS. Capability controls are exposed in PF configuration space. Works with PASID and optionally PRI for fine‑grained control.","Signal Descriptions: ATS Capability Signals p. 1201; ATS Register Configuration (PF0) p. 149","Explicit","IOMMU present and configured; ACS/ARI settings compatible","Yes","Enable only when system IOMMU supports ATS coherently"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","PASID (Process Address Space ID)","Security","Adds PASID capability and TLP prefix support to tag requests with process IDs. Enables per‑process isolation for DMA with shared devices. Works in concert with ATS/PRI and modern IOMMUs. Configurable defaults are provided in capability registers. Critical for SR‑IOV and SVA (Shared Virtual Addressing) deployments.","Parameter Descriptions: PASID Capability Register Defaults p. 129; TLP Prefix Support p. 127","Explicit","IOMMU with PASID enabled; software stack support","Yes","Coordinate PASID width with OS/IOMMU limits"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Page Request Interface (PRI)","Security","Supports device‑initiated page requests to handle faults in shared virtual memory. Enables on‑demand mapping of pages by the IOMMU. Reduces stalls for working sets larger than pinned memory. Complements ATS and PASID for full SVA. Particularly useful in accelerator and GPU‑like workloads.","Parameter Descriptions: PRI Capability (not shown in excerpt; referenced in notes)","Inferred","IOMMU with PRI; end‑to‑end PRI enablement","Yes","Verify OS PRI support before enabling in production"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Alternative Routing‑ID Interpretation (ARI)","Configuration","Expands function number space and simplifies SR‑IOV hierarchies. Provides ARI capability and control registers. Enables better scaling for VFs behind a single PF. Must be consistently enabled across the path. Improves enumeration density without external bridges.","ARI Extended Capability: ARI_BASE/CAP_REG (USP) p. 3351–3353","Explicit","ARI enable in all upstream components","Yes","Enable before SR‑IOV to maximize VF addressing space"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","SR‑IOV (PF/VF) Virtualization","Virtualization","Implements Single Root I/O Virtualization with PF and multiple VFs. Provides VF BARs, capability pointers, and error reporting hooks. PF controls provisioning and isolation of VFs. Integrates with MSI/MSI‑X for per‑VF interrupt scaling. Essential for cloud and multi‑tenant systems.","SR‑IOV Register Configuration (PF0) p. 185; VF BARs p. 188; VF PCI config p. 4726; EXTSRIOV signals p. 1188/1194","Explicit","Platform SR‑IOV support; IOMMU; PF driver","Yes","Plan BAR sizes carefully to fit VF windows"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Native PCIe Enclosure Management (NPEM)","Management","Supports enclosure management functions via NPEM extended capability. Provides control and status registers for sensors and indicators. Enables chassis‑level monitoring and control through PCIe. Useful in servers and storage backplanes. Integrates into platform management stacks.","PF0_NPEM_CAP: NPEM_EXT_CAP_HDR/CTRL/STATUS (USP) p. 3847–3862; (DSP) p. 2014+","Explicit","NPEM_ENABLE; management software present","Yes","Map BAR space exposing NPEM registers to BMC/host tools"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Secondary PCIe Capability (Link Control 3, Gen3+)","Performance","Adds Gen3+ controls like Link Control 3 and lane error reporting. Provides knobs for equalization and advanced link features. Exposes speed change and retraining policies. Improves interoperability at higher data rates. Standard extended capability recognized by OS.","PF0_SPCIE_CAP (DSP) p. 1587; LINK_CONTROL3 and lane controls p. 1587–1592","Explicit","Gen3+ negotiated or targeted; capability present","No","OS enumerates; drivers may adjust for tuning only"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","PL16G/PL32G/PL64G Physical Layer Capabilities","Performance","Extended capabilities expose controls/status for Gen4/Gen5/Gen6‑class PHY blocks. Software can read link status and limited controls for equalization and training. Supports margining and advanced diagnostics at higher rates. Backwards compatible with lower generations. Requires matching PHY silicon and board design.","PL64G_EXT_CAP_HDR/CAP/CTRL/STATUS (USP) p. 3422–3426; GEN3_RELATED and EQ regs p. 2247–2261","Explicit","CX_PLxxG_ENABLE; external PHY supports target Gen; SI budget","Yes","Use only for supervised tuning; defaults are standards‑compliant"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Lane Equalization Controls and Coefficients","Performance","Fine‑grained per‑lane equalization controls and FOM tables are provided. Enables manual override of presets and coefficients when needed. Useful for platform bring‑up and solving marginal channels. Can improve eye opening and BER with careful tuning. Changes should be validated across PVT corners.","GEN3_FCOEF_LANEx_y (USP) p. 4265–4273; PL64G lane EQ regs p. 3430+","Explicit","Gen>=3 link; access to EQ registers; trained link","Yes","Record baseline settings before overrides for rollback"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Negotiated Lane Width and Bandwidth Scaling","Performance","Supports scalable lane widths with automatic negotiation at link training. Link status registers expose final speed and width for software policy. Bandwidth scales with both negotiated speed and lane count. Works with upstream/downstream partners to find best common mode. Enables power/perf trade‑offs via retraining if desired.","LINK_CAPABILITIES p. 1388; LINK_CONTROL/STATUS p. 1395","Inferred","Board routing and PHY determine max width; partner capabilities","No","Use retrain to recover width after transient errors"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","PCIe Configuration Space and BARs (Type0/Type1)","Configuration","Exposes standard Type 0/Type 1 headers with programmable BARs and resources. Supports ROM BAR, subsystem IDs, capability pointer chains, and bridge controls. Enables memory and I/O resource mapping by system firmware/OS. Required for enumeration of PF/VF functions. Provides interrupt line/pin fields for legacy paths.","Type1 Header regs p. 1302–1342; PF0 BARs p. 3102–3114; PCI_CAP_PTR_REG p. 3113","Explicit","BAR apertures sized/mapped by firmware; Bus Master Enable","Yes","Respect DBI write rules when changing sticky defaults"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Capability and Extended Capability Chains","Configuration","Implements full PCIe capability and extended capability lists. Enables discovery of features such as AER, SR‑IOV, ARI, ATS, and vendor‑specific blocks. Software walks the linked list via capability pointers. Supports standards‑compliant layout for interoperability. Basis for feature negotiation and enablement.","PCI_CAP_PTR_REG (PF) p. 3113; multiple extended capability headers cited","Explicit","Correct capability pointer chain; DBI access when needed","Yes","Probe order: PCI caps first, then extended caps"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","VPD (Vital Product Data) Capability","Debug","Provides read/write access to device VPD for field service and asset tracking. Stores calibration, serials, and support data. Accessible via standardized VPD capability registers. Useful for manufacturing and inventory systems. Can be protected read‑only in production.","PF0_VPD_CAP (DSP) p. 1484–1486","Explicit","VPD area provisioned; permissions set","Yes","Populate during manufacturing to avoid field gaps"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Vendor‑Specific Extended Capability for DMA (VSEC)","Configuration","Defines a vendor‑specific capability that advertises the DMA engine and its unrolled register map. Provides base address offsets for channel blocks. Enables portable discovery by drivers rather than hard‑coded addresses. Integrates with PF capability space for enumeration. Improves compatibility across core revisions.","VSECDMA_EXT_CAP_HDR_OFF (USP) p. 3837; UNROLL_ADDR_OFFSET_LOW/HIGH p. 3845","Explicit","CC_DMA_ENABLE; capability present in PF space","Yes","Use VSEC to discover channels instead of static tables"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","CXL RCiEP/RCRB DVSECs (Optional)","Interface","Optional Compute Express Link transport DVSECs expose CXL‑specific control/status when licensed. Enables CXL.io interoperability and FlexBus structures. Coexists with PCIe capabilities in the same function. Requires platform CXL stack for meaningful use. Discovery via PCIe DVSEC headers.","CXL‑RCIEP Transport DVSEC (USP) p. 3920; CXL RCRB DVSEC (DSP) p. 2045–2049; (USP) p. 3878–3882","Explicit","CX_CXL_ENABLE; platform CXL software stack","Yes","Only enable when all link partners support CXL"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","MSI Reception Status and GPIO Debug","Debug","Provides internal MSI reception status and optional GPIO I/O for testing. Aids in validating interrupt delivery paths. Useful during bring‑up before OS drivers are stable. Enables quick visual or polled confirmation of vectors. Complements standard MSI capability programming.","INTR0 Status +0x830 (USP) p. 2243; MSI_GPIO_IO_OFF +0x888 p. 2244","Explicit","MSI enabled and routed; access to USP block","Yes","Good for firmware‑level smoke tests of interrupt paths"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Event Counters and Time‑Based Analysis","Debug","Built‑in event counters record protocol and traffic metrics. Time‑based analysis registers provide timestamped observations. Helps profile workloads and diagnose performance anomalies. Supports enable/clear/read flows for low overhead telemetry. Valuable for regression and field diagnostics.","EVENT_COUNTER_CONTROL/DATA p. 1784–1787; TIME_BASED_ANALYSIS_* p. 1788–1791; (USP) p. 3607–3614","Explicit","Counter block enabled; access serialized with traffic","Yes","Sample at steady state; avoid perturbing workload"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","Downstream Port Containment (DPC)","Error Handling","Provides containment and recovery for downstream port fatal errors. Helps prevent error propagation by isolating faulty endpoints. Works with AER to signal events to root complex. Facilitates automated link reset and recovery policies. Improves system availability in the presence of device faults.","Signal Descriptions: DPC signals (p. 1203)","Inferred","Feature availability depends on device type/licensing","Yes","Enable with caution; verify firmware recovery flow"
"PCIe Embedded Host Controller (DesignWare PCIe DM)","DBI Read‑Only Override (DBI_RO_WR_EN)","Configuration","Allows controlled writes to fields that are read‑only from standard PCIe perspective. Used to change strap defaults or board‑specific parameters. Must be enabled only transiently to avoid accidental corruption. Subject to core DBI access rules. Essential for low‑level board bring‑up adjustments.","Programming Notes: DBI write rules (Table 3‑768 ref); DBI_RO_WR_EN mention in notes","Inferred","DBI access path available; privileged firmware context","Yes","Disable override immediately after making required changes"
